ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1.5305861264220937e+174	25.662	6.492	24.0	17.272	1.000000000001933	0	0	162	10	156	108	3	3	3	2	80	0	1.5210251808166504	500	1.5210251808166504	406	18.799999999999997	
1.2164033167645583e+48	19.122	6.2922252010723865	12.74798927613941	9.03485254691689	0.9999962641779071	1	127	84	17.0	73.0	52.0	2	2.0	2.0	1.0	103	0	0.22084641456604004	1000	1.7418715953826904	660	34.0	
903468674.1984574	18.042	5.751824817518248	11.107055961070559	7.807785888077859	0.9994895649680567	2	216	73	17.0	79.0	56.0	1	2.0	2.0	1.0	112	0	0.1979992389678955	1500	1.939870834350586	919	38.733333333333334	
24133786314.36163	17.888	5.787671232876712	10.810502283105023	7.607305936073059	0.9994895649680567	3	279	74	16.0	50.0	36.0	2	2.0	2.0	1.0	116	0	0.20289993286132812	2000	2.142770767211914	1187	40.65	
4.857051063553038e+53	19.298	5.621145374449339	10.42511013215859	7.308370044052864	0.9994895649680567	4	326	61	16.0	48.0	35.0	2	2.0	2.0	1.0	123	0	0.2034153938293457	2500	2.3461861610412598	1450	42.00000000000001	
3.3515399962743607e+118	20.628	5.844349680170576	10.8272921108742	7.658848614072495	0.9993395413047703	5	358	69	16.0	52.0	36.0	2	2.0	2.0	1.0	123	0	0.22205638885498047	3000	2.5682425498962402	1731	42.300000000000004	
11427089161.31575	21.826	5.914529914529915	11.145299145299145	7.897435897435898	0.9993395413047703	6	391	69	16.0	52.0	36.0	2	2.0	2.0	1.0	129	0	0.23132014274597168	3500	2.799562692642212	1995	43.00000000000001	
270645.05299414083	24.292	6.16557734204793	11.991285403050108	8.498910675381264	0.9991798298654572	7	432	70	15.0	47.0	33.0	2	2.0	2.0	1.0	136	0	0.23741650581359863	4000	3.0369791984558105	2286	42.85	
3.7124967610880346e+76	25.6	6.197505197505198	12.54054054054054	8.837837837837839	0.9991798298654572	8	452	70	17.0	55.0	39.0	3	2.0	2.0	1.0	142	0	0.25039172172546387	4500	3.2873709201812744	2592	42.400000000000006	
150698958.58825216	28.742	6.572025052192067	13.920668058455115	9.851774530271399	0.9991798298654572	9	474	76	17.0	66.0	48.0	3	2.0	2.0	1.0	146	0	0.2677948474884033	5000	3.5551657676696777	2905	41.900000000000006	
5.458508274847238e+52	32.916	6.832644628099174	14.979338842975206	10.59297520661157	0.9991798298654572	10	491	77	17.0	61.0	45.0	4	2.0	2.0	1.0	152	0	0.2777974605560303	5500	3.832963228225708	3228	41.309090909090905	
1.5817361715790118e+50	33.528	7.0	15.815899581589958	11.175732217573222	0.9991798298654572	11	514	85	17.0	62.0	46.0	5	2.0	2.0	1.0	160	0	0.282581090927124	6000	4.115544319152832	3519	41.349999999999994	
2.0846867033741284e+77	33.582	6.983402489626556	15.601659751037344	10.989626556016598	0.9991798298654572	12	532	88	17.0	83.0	57.0	2	2.0	2.0	1.0	176	0	0.28704142570495605	6500	4.402585744857788	3819	41.246153846153845	
5.380444160621041e+26	33.716	6.830612244897959	15.353061224489796	10.777551020408163	0.9991798298654572	13	542	96	17.0	72.0	52.0	5	2.0	2.0	1.0	184	0	0.2842061519622803	7000	4.686791896820068	4143	40.81428571428572	
7.404946491277877e+73	33.72	6.816842105263158	15.722105263157895	10.964210526315789	0.9991798298654572	14	567	101	17.0	77.0	53.0	2	2.0	2.0	1.0	196	0	0.275287389755249	7500	4.962079286575317	4449	40.68000000000001	
5.241446672194056e+20	33.542	6.794661190965092	15.77618069815195	10.952772073921972	0.9991443363570665	15	581	117	17.0	74.0	51.0	2	2.0	2.0	1.0	204	0	0.3524956703186035	8000	5.314574956893921	4797	40.0375	
1.2407665854579572e+78	32.938	7.067209775967413	17.089613034623216	11.885947046843178	0.9991443363570665	16	591	93	17.0	74.0	51.0	5	2.0	2.0	1.0	215	0	0.2939889430999756	8500	5.6085638999938965	5137	39.564705882352946	
1.0494193335193741e+72	33.566	7.39622641509434	18.153039832285117	12.654088050314465	0.9991443363570665	17	615	92	17.0	79.0	53.0	3	2.0	2.0	1.0	222	0	0.3070495128631592	9000	5.915613412857056	5470	39.22222222222223	
1.715864447479448e+57	32.024	6.952282157676349	16.085062240663902	11.224066390041493	0.9991443363570665	18	634	129	17.0	83.0	59.0	2	2.0	2.0	1.0	234	0	0.2912635803222656	9500	6.206876993179321	5787	39.084210526315786	
304137127442570.5	32.422	6.74896265560166	16.275933609958507	11.207468879668049	0.9991443363570665	19	653	99	17.0	80.0	53.0	2	2.0	2.0	1.0	241	0	0.36838507652282715	10000	6.575262069702148	6103	38.970000000000006	
4.346627016366459e+81	34.86	6.8893528183716075	17.342379958246347	11.891440501043842	0.9991443363570665	20	674	101	17.0	75.0	51.0	2	2.0	2.0	1.0	247	0	0.27014732360839844	10500	6.845409393310547	6438	38.68571428571429	
79627798071669.33	36.09	7.24223602484472	18.55072463768116	12.782608695652174	0.9991443363570665	21	691	104	17.0	69.0	49.0	4	2.0	2.0	1.0	254	0	0.28897595405578613	11000	7.134385347366333	6772	38.43636363636364	
2.0137967464750673e+81	36.866	6.838174273858921	17.87551867219917	12.219917012448132	0.9991443363570665	22	710	101	17.0	91.0	62.0	3	2.0	2.0	1.0	261	0	0.2779209613800049	11500	7.412306308746338	7097	38.286956521739135	
4.415802627890751e+81	36.508	6.909090909090909	17.985537190082646	12.305785123966942	0.9991443363570665	23	727	102	17.0	82.0	57.0	3	2.0	2.0	1.0	269	0	0.2793307304382324	12000	7.69163703918457	7426	38.11666666666667	
2.6942380153086382e+81	39.612	7.012295081967213	18.811475409836067	12.844262295081966	0.9990720584287824	24	739	119	17.0	82.0	54.0	5	2.0	2.0	1.0	277	0	0.2868998050689697	12500	7.97853684425354	7775	37.8	
3.9162301020250433e+58	38.418	6.991718426501035	18.625258799171842	12.747412008281573	0.998847597815805	25	756	134	17.0	83.0	55.0	3	2.0	2.0	1.0	291	0	0.2838163375854492	13000	8.26235318183899	8090	37.76923076923077	
1.2646150562227534e+41	39.39	7.684317718940937	21.566191446028512	14.84928716904277	0.998847597815805	26	765	130	17.0	88.0	62.0	4	2.0	2.0	1.0	304	0	0.32686352729797363	13500	8.589216709136963	8455	37.37037037037037	
4.623503836863856e+20	42.298	8.119341563786008	23.46502057613169	16.170781893004115	0.998847597815805	27	779	141	17.0	116.0	80.0	4	2.0	2.0	1.0	322	0	0.3461878299713135	14000	8.935404539108276	8792	37.2	
1.3974153216742228e+82	44.494	8.180672268907562	24.308823529411764	16.605042016806724	0.998847597815805	28	804	144	17.0	116.0	80.0	4	2.0	2.0	1.0	337	0	0.3285834789276123	14500	9.263988018035889	9132	37.02068965517241	
9.98497610530495e+79	46.522	8.184873949579831	25.384453781512605	17.294117647058822	0.998847597815805	29	828	133	17.0	131.0	90.0	6	2.0	2.0	1.0	349	0	0.33683109283447266	15000	9.600819110870361	9474	36.839999999999996	
1.863264183438562e+90	48.66	8.448347107438016	26.94214876033058	18.324380165289256	0.998847597815805	30	844	133	17.0	106.0	70.0	7	2.0	2.0	1.0	361	0	0.34110212326049805	15500	9.94192123413086	9831	36.5741935483871	
1.8225467251655686e+74	48.174	8.362105263157895	26.938947368421054	18.324210526315788	0.998847597815805	31	869	147	17.0	123.0	83.0	8	2.0	2.0	1.0	369	0	0.3343663215637207	16000	10.27628755569458	10187	36.331250000000004	
308686303610490.9	49.418	8.523012552301255	27.11715481171548	18.44142259414226	0.9987971685575725	32	892	132	17.0	115.0	77.0	7	2.0	2.0	1.0	379	0	0.349395751953125	16500	10.625683307647705	10547	36.07878787878788	
8.463471689106482e+112	53.374	8.465696465696466	27.821205821205822	18.864864864864863	0.9987971685575725	33	912	139	17.0	119.0	80.0	7	2.0	2.0	1.0	390	0	0.3694031238555908	17000	10.995086431503296	10918	35.7764705882353	
1.4633463691084352e+84	54.576	8.54149377593361	28.863070539419088	19.6597510373444	0.9987229257730087	34	931	145	17.0	137.0	88.0	7	2.0	2.0	1.0	402	0	0.3825714588165283	17500	11.377657890319824	11270	35.599999999999994	
2.728769577828593e+82	56.584	8.340336134453782	27.804621848739497	18.926470588235293	0.9987229257730087	35	956	164	17.0	139.0	91.0	9	2.0	2.0	1.0	412	0	0.35549163818359375	18000	11.733149528503418	11615	35.47222222222223	
3.7353222379251996e+83	58.232	8.608421052631579	28.246315789473684	19.271578947368422	0.9987229257730087	36	982	137	17.0	89.0	60.0	9	2.0	2.0	1.0	422	0	0.37823033332824707	18500	12.111379861831665	11976	35.26486486486486	
3.209533084366997e+57	61.254	8.74020618556701	29.305154639175257	19.995876288659794	0.9985467714051353	37	998	152	17.0	94.0	64.0	8	2.0	2.0	1.0	433	0	0.40450143814086914	19000	12.515881299972534	12335	35.078947368421055	
