ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
5.158970325952666e+244	25.528	6.498	23.844	17.168	0.040575324856202244	0	0	168	10	154	112	3	3	3	2	45	0	0.8172824382781982	500	0.8172824382781982	439	12.200000000000003	
2.5992319676438733e+125	20.692	6.80672268907563	13.677871148459383	9.787114845938376	0.040575324856202244	1	144	96	17.0	52.0	37.0	2	2.0	2.0	1.0	50	0	0.10570573806762695	1000	0.9229881763458252	703	29.700000000000003	
2.2105509204034732e+178	18.964	6.642523364485982	12.728971962616823	9.186915887850468	0.04054195823397238	2	217	100	17.0	70.0	48.0	1	2.0	2.0	1.0	52	0	0.0970003604888916	1500	1.0199885368347168	991	33.93333333333334	
1.4324398611207201e+66	18.71	6.6824324324324325	11.903153153153154	8.711711711711711	0.04054195823397238	3	274	98	17.0	48.0	36.0	1	2.0	2.0	1.0	57	0	0.09954142570495605	2000	1.1195299625396729	1270	36.5	
5.634407264675352e+292	19.608	6.3310344827586205	10.822988505747126	7.910344827586207	0.04054195823397238	4	340	89	17.0	58.0	42.0	2	2.0	2.0	1.0	59	0	0.09405994415283203	2500	1.2135899066925049	1544	38.239999999999995	
6.671575273126948e+60	20.85	6.762114537444934	11.674008810572687	8.627753303964758	0.039226306451702025	5	387	94	17.0	60.0	42.0	2	2.0	2.0	1.0	61	0	0.09908151626586914	3000	1.312671422958374	1837	38.76666666666667	
1.513579735563711e+21	22.786	6.91991341991342	11.718614718614718	8.670995670995671	0.039226306451702025	6	426	100	16.0	44.0	33.0	2	2.0	2.0	1.0	61	0	0.10187935829162598	3500	1.41455078125	2147	38.65714285714286	
1.2818474055957575e+27	22.348	6.928879310344827	11.3125	8.463362068965518	0.03750584394540247	7	463	103	16.0	54.0	40.0	3	2.0	2.0	1.0	61	0	0.10362410545349121	4000	1.5181748867034912	2430	39.24999999999999	
69.75394884342627	23.674	7.286919831223629	12.109704641350211	9.056962025316455	0.03750584394540247	8	490	106	17.0	44.0	33.0	5	2.0	2.0	1.0	62	0	0.10559821128845215	4500	1.6237730979919434	2751	38.866666666666674	
117.23933123876502	23.342	7.272340425531915	12.170212765957446	9.151063829787233	0.03750584394540247	9	521	89	17.0	39.0	29.0	4	2.0	2.0	1.0	65	0	0.1095421314239502	5000	1.7333152294158936	3071	38.580000000000005	
3.0985918505116963e+32	24.172	7.630341880341881	13.348290598290598	10.051282051282051	0.036216106712542495	10	554	87	17.0	62.0	45.0	3	2.0	2.0	1.0	66	0	0.12970995903015137	5500	1.863025188446045	3390	38.36363636363637	
3.782134277243904e+66	25.766	7.46218487394958	13.100840336134453	9.804621848739496	0.036216106712542495	11	579	83	17.0	52.0	37.0	2	2.0	2.0	1.0	69	0	0.11519074440002441	6000	1.9782159328460693	3689	38.516666666666666	
202.16217438454282	26.814	7.250530785562633	12.694267515923567	9.464968152866241	0.036216106712542495	12	609	74	17.0	58.0	43.0	3	2.0	2.0	1.0	71	0	0.11079978942871094	6500	2.0890157222747803	3969	38.938461538461546	
28195680913370.945	27.238	7.47457627118644	13.451271186440678	10.044491525423728	0.036216106712542495	13	638	66	17.0	70.0	51.0	2	2.0	2.0	1.0	73	0	0.11380696296691895	7000	2.202822685241699	4295	38.642857142857146	
68.91949712863021	27.85	7.505219206680585	13.751565762004175	10.19624217118998	0.036216106712542495	14	660	88	17.0	69.0	49.0	3	2.0	2.0	1.0	75	0	0.11328959465026855	7500	2.3161122798919678	4603	38.626666666666665	
1.3913459441219503e+88	28.452	7.670807453416149	14.391304347826088	10.681159420289855	0.036216106712542495	15	678	79	17.0	77.0	57.0	4	2.0	2.0	1.0	77	0	0.1161811351776123	8000	2.43229341506958	4915	38.5625	
302925.0876445438	29.82	7.583333333333333	14.308333333333334	10.591666666666667	0.03561523965269183	16	699	80	17.0	57.0	42.0	5	2.0	2.0	1.0	78	0	0.11942887306213379	8500	2.551722288131714	5216	38.63529411764706	
